Date,Open,High,Low,Close,Adj Close,Volume
1999-08-31,10.898983,11.041143,10.804209,10.970063,6.310077,2192500
1999-09-01,11.420238,11.420238,11.230691,11.230691,6.459991,2832500
1999-09-02,11.159611,11.183304,10.970063,10.993756,6.323705,1591500
1999-09-03,11.467626,11.823027,11.396545,11.823027,6.800709,2183700
1999-09-07,11.728253,12.083654,11.704559,11.988881,6.896111,2575900
1999-09-08,12.107348,12.510137,12.083654,12.273202,7.059654,3421700
1999-09-09,12.320589,12.415363,12.131042,12.320589,7.086912,1914300
1999-09-10,12.652297,12.770764,12.510137,12.770764,7.345855,1422400
1999-09-13,12.747071,12.770764,11.941494,12.107348,6.964254,1715800
1999-09-14,11.894107,12.415363,11.751946,12.344283,7.100540,2372000
1999-09-15,12.367976,12.415363,11.941494,11.941494,6.868852,2960900
1999-09-16,12.296896,12.296896,11.657173,11.894107,6.841595,2102800
1999-09-17,12.036268,12.202122,12.036268,12.202122,7.018769,878900
1999-09-20,12.154736,12.604911,11.372851,11.562399,6.650794,3300400
1999-09-21,11.515012,11.823027,11.301771,11.728253,6.746195,3312600
1999-09-22,11.657173,11.704559,11.183304,11.325464,6.514506,3906000
1999-09-23,11.443932,11.538706,11.088531,11.088531,6.378221,3267100
1999-09-24,11.183304,11.183304,10.733129,10.993756,6.323705,2232100
1999-09-27,11.230691,11.562399,11.183304,11.301771,6.500878,3367900
1999-09-28,11.325464,11.420238,11.017450,11.183304,6.432734,3192000
1999-09-29,11.562399,11.988881,11.562399,11.751946,6.759823,2941300
1999-09-30,11.657173,11.704559,11.183304,11.183304,6.432734,4416600
1999-10-01,11.159611,11.609786,11.135917,11.586093,6.664422,2866900
1999-10-04,11.538706,11.941494,11.538706,11.917801,6.855225,2103800
1999-10-05,11.751946,12.178429,11.704559,12.178429,7.005139,2958200
1999-10-06,12.131042,12.344283,12.107348,12.273202,7.059654,3077700
1999-10-07,12.320589,12.320589,11.704559,11.894107,6.841595,3146600
1999-10-08,11.751946,11.751946,11.420238,11.467626,6.596280,3517400
1999-10-11,11.751946,12.036268,11.751946,11.965188,6.882481,1585700
1999-10-12,12.273202,12.320589,11.870414,11.894107,6.841595,2951500
1999-10-13,11.823027,12.083654,11.769689,11.769689,6.770028,2270400
1999-10-14,12.036268,12.178429,11.965188,12.059961,6.936997,1436400
1999-10-15,11.751946,11.870414,11.657173,11.751946,6.759823,1637100
1999-10-18,11.751946,11.751946,11.396545,11.443932,6.582650,3229600
1999-10-19,11.751946,11.846721,11.467626,11.467626,6.596280,2312600
1999-10-20,11.491319,11.894107,11.443932,11.846721,6.814338,1432300
1999-10-21,11.704559,11.870414,11.491319,11.823027,6.800709,1150500
1999-10-22,11.799334,12.107348,11.657173,11.941494,6.868852,1456200
1999-10-25,12.202122,12.273202,12.154736,12.273202,7.059654,1756400
1999-10-26,12.273202,12.628604,12.273202,12.510137,7.195940,1529600
1999-10-27,12.533831,12.557524,12.202122,12.273202,7.059654,790300
1999-10-28,12.249509,12.652297,12.178429,12.628604,7.264084,1311600
1999-10-29,12.723378,13.220940,12.723378,13.126166,7.550287,3266800
