Date,Open,High,Low,Close,Adj Close,Volume
1999-08-31,39.031250,39.937500,39.000000,39.437500,22.017258,7733000
1999-09-01,39.500000,39.593750,39.062500,39.156250,21.860231,6976400
1999-09-02,38.937500,39.250000,38.375000,38.750000,21.633434,7363400
1999-09-03,38.875000,39.625000,38.812500,39.531250,22.069586,6337200
1999-09-07,39.531250,40.000000,39.312500,39.750000,22.191717,6534400
1999-09-08,39.625000,40.656250,39.625000,40.593750,22.662779,7100200
1999-09-09,40.781250,41.500000,40.593750,40.625000,22.680225,9825400
1999-09-10,40.750000,40.875000,40.156250,40.218750,22.453409,5900200
1999-09-13,39.875000,40.062500,39.250000,39.312500,21.947474,7168600
1999-09-14,39.187500,40.125000,39.156250,39.593750,22.104486,7042600
1999-09-15,39.593750,39.593750,38.406250,38.625000,21.563648,9937400
1999-09-16,38.687500,39.000000,38.187500,38.843750,21.685768,6518800
1999-09-17,39.187500,40.093750,38.937500,39.937500,22.296394,10120600
1999-09-20,40.000000,40.000000,38.906250,39.093750,21.825350,5073400
1999-09-21,38.750000,38.937500,38.031250,38.375000,21.424078,7053200
1999-09-22,38.406250,38.718750,37.687500,37.687500,21.040268,9882400
1999-09-23,37.937500,38.718750,37.156250,37.406250,20.883242,9489600
1999-09-24,37.125000,37.531250,36.875000,37.406250,20.883242,8801600
1999-09-27,37.375000,38.031250,37.187500,37.562500,20.970480,6514800
1999-09-28,37.281250,37.437500,36.062500,37.343750,20.848354,11376200
1999-09-29,38.125000,38.218750,37.312500,37.375000,20.865797,7655600
1999-09-30,37.593750,38.125000,37.343750,38.000000,21.214722,8757800
1999-10-01,37.968750,38.062500,37.281250,37.312500,20.830902,7635000
1999-10-04,37.250000,37.468750,36.062500,36.500000,20.377300,12483000
1999-10-05,36.375000,36.687500,35.625000,36.093750,20.150494,8474800
1999-10-06,36.062500,37.000000,35.812500,37.000000,20.656443,13190600
1999-10-07,36.906250,36.906250,36.312500,36.562500,20.412197,6096200
1999-10-08,36.312500,36.656250,36.031250,36.375000,20.307508,6759000
1999-10-11,36.375000,36.843750,36.250000,36.687500,20.481985,6009400
1999-10-12,36.718750,37.062500,36.531250,36.656250,20.464527,6921200
1999-10-13,37.062500,37.125000,36.687500,36.812500,20.551760,9806000
1999-10-14,36.625000,37.375000,36.437500,37.187500,20.761120,8758000
1999-10-15,37.156250,37.156250,36.000000,36.000000,20.098162,9256400
1999-10-18,36.125000,36.593750,35.750000,36.500000,20.377300,6336000
1999-10-19,36.937500,37.000000,36.468750,36.718750,20.499422,5789800
1999-10-20,36.937500,38.312500,36.781250,38.250000,21.354294,10553800
1999-10-21,37.750000,38.187500,37.531250,38.031250,21.232170,7574800
1999-10-22,38.437500,38.468750,37.937500,38.437500,21.458971,5929000
1999-10-25,37.875000,38.062500,36.875000,37.000000,20.656443,6792800
1999-10-26,36.500000,36.687500,35.843750,36.031250,20.115608,11704800
1999-10-27,36.062500,36.437500,35.750000,35.875000,20.028374,9068800
1999-10-28,36.375000,36.968750,36.187500,36.562500,20.412197,9133200
1999-10-29,36.812500,37.250000,36.343750,37.031250,20.673889,8455600
1999-11-01,37.031250,37.500000,36.781250,37.375000,20.865797,6788600
1999-11-02,37.187500,37.593750,36.968750,37.062500,20.691332,5900200
1999-11-03,37.312500,37.312500,36.281250,36.500000,20.377300,7477200
1999-11-04,36.843750,36.968750,36.250000,36.500000,20.377300,7272000
1999-11-05,36.500000,36.500000,35.031250,35.312500,19.714342,14346600
1999-11-08,35.500000,37.406250,35.500000,37.156250,20.743677,11023600
1999-11-09,37.468750,37.687500,37.187500,37.656250,21.274750,6332000
1999-11-10,37.812500,38.093750,37.656250,38.000000,21.468950,8894000
1999-11-11,38.031250,38.437500,37.687500,38.406250,21.698473,7594400
1999-11-12,38.468750,38.968750,38.250000,38.937500,21.998623,6975200
1999-11-15,38.937500,39.031250,38.687500,39.000000,22.033926,7169800
1999-11-16,39.125000,39.593750,38.500000,39.593750,22.369377,8814000
1999-11-17,39.562500,40.625000,39.500000,40.125000,22.669523,14534400
1999-11-18,40.500000,40.687500,40.093750,40.531250,22.899046,9179800
1999-11-19,40.500000,40.531250,39.812500,39.843750,22.510630,7535800
1999-11-22,39.843750,40.031250,39.593750,39.773399,22.470875,7202600
1999-11-23,39.937500,39.968750,38.843750,39.000000,22.033926,8324000
1999-11-24,38.937500,39.812500,38.781250,39.562500,22.351727,9523800
1999-11-26,39.250000,39.531250,39.000000,39.000000,22.033926,2495600
1999-11-29,38.937500,39.750000,38.781250,39.687500,22.422358,8409600
1999-11-30,40.000000,40.093750,39.437500,39.656250,22.404699,11735800
1999-12-01,39.625000,41.437500,39.625000,41.250000,23.305120,12532000
1999-12-02,41.437500,41.437500,40.625000,41.039051,23.185940,10940000
